*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 15, 2016; 16:05:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0209 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1990 224     0  15.30  28.40  12.10  3.842  2.370  0.000  2.370  0.000    2.4    0.0    2.4    0.0
 1990 225     1  14.50  28.00  12.80  3.644  1.374  0.000  1.374  0.000    3.7    0.0    3.7    0.0
 1990 226     2   5.20  25.80  14.90  1.294  1.078  0.000  1.078  0.000    4.8    0.0    4.8    0.0
 1990 227     3   7.50  15.80  10.50  1.580  1.580  0.000  1.580  0.000    6.4    0.0    6.4    0.0
 1990 228     4  14.80  18.90   8.50  3.195  3.195  0.000  3.195  0.000    9.6    0.0    9.6    0.0
 1990 229     5  16.80  21.40   7.70  3.724  2.725  0.000  2.725  0.000   12.3    0.0   12.3    0.0
 1990 230     6  16.20  20.80   6.00  3.508  2.308  0.000  2.308  0.000   14.6    0.0   14.6    0.0
 1990 231     7  12.80  20.80  10.40  2.883  1.364  0.000  1.364  0.000   16.0    0.0   16.0    0.0
 1990 232     8  17.30  21.00  10.30  3.903  1.073  0.000  1.073  0.000   17.1    0.0   17.1    0.0
 1990 233     9  14.80  20.90   6.70  3.230  0.914  0.000  0.914  0.000   18.0    0.0   18.0    0.0
 1990 234    10  13.00  18.40   8.30  2.782  0.810  0.000  0.810  0.000   18.8    0.0   18.8    0.0
 1990 235    11  17.00  15.60   4.40  3.366  0.735  0.000  0.735  0.000   19.5    0.0   19.5    0.0
 1990 236    12  11.20  18.10   3.70  2.285  0.677  0.000  0.677  0.000   20.2    0.0   20.2    0.0
 1990 237    13  13.00  24.60   9.60  3.054  0.632  0.000  0.632  0.000   20.8    0.0   20.8    0.0
 1990 238    14  16.40  25.50  11.70  3.964  0.594  0.000  0.594  0.000   21.4    0.0   21.4    0.0
 1990 239    15   6.80  17.60   5.50  1.401  1.401  0.003  1.398  0.000   22.8    0.0   22.8    0.0
 1990 240    16  18.80   9.70   2.00  3.303  3.303  0.008  3.295  0.000   26.1    0.0   26.1    0.0
