*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 14:39:00

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0124 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1987 187     3     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 188     4     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 189     5     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 190     6     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 191     7     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 192     8     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 193     9     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 194    10     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 195    11     8    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1987 196    12     9    1.2    0.0    1.2   0.00   4.40    0.0    0.6    0.6    4.4   4.40   0.00    0.00    0.00
 1987 197    13    10    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.08    0.00    0.00
 1987 198    14    11    1.3    0.0    1.3   0.00   4.52    0.2    0.6    0.6    4.5   4.52   1.08    0.00    0.00
 1987 199    15    12    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.17    0.00    0.00
 1987 200    16    13    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.18    0.00    0.00
 1987 201    17    14    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.18    0.00    0.00
 1987 202    18    15    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.18    0.00    0.00
 1987 203    19    16    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.19    0.00    0.00
 1987 204    20    17    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.19    0.00    0.00
 1987 205    21    18    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.19    0.00    0.00
 1987 206    22    19    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.17    0.00    0.00
 1987 207    23    20    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.16    0.00    0.00
 1987 208    24    21    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.13    0.00    0.00
 1987 209    25    22    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.04    0.00    0.00
 1987 210    26    23    1.3    0.0    1.3   0.00   4.51    0.2    0.6    0.6    4.5   4.51   1.01    0.00    0.00
 1987 211    27    24    1.2    0.0    1.2   0.00   4.37    0.2    0.6    0.6    4.4   4.37   1.37    0.00    0.00
 1987 212    28    25    1.2    0.0    1.2   0.00   4.37    0.2    0.6    0.6    4.4   4.37   1.31    0.00    0.00
 1987 213    29    26    1.2    0.0    1.2   0.00   4.35    0.3    0.6    0.6    4.4   4.35   1.27    0.00    0.00
 1987 214    30    27    1.2    0.0    1.2   0.00   4.23    0.3    0.6    0.6    4.2   4.23   1.22    0.00    0.00
 1987 215    31    28    1.2    0.0    1.2   0.00   4.12    0.4    0.7    0.6    4.1   4.12   1.25    0.00    0.01
 1987 216    32    29    1.3    0.0    1.3   0.00   4.21    0.4    0.7    0.6    4.2   4.21   1.17    0.00    0.01
