*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 1999 232     0  22.5  21.6  20.6  19.8  19.3  18.8  18.5  18.3   0.0   0.0
 1999 233     1  23.0  22.1  21.0  20.1  19.5  19.0  18.6  18.3   0.0   0.0
 1999 234     2  21.6  20.9  20.0  19.4  19.0  18.6  18.3  18.2   0.0   0.0
 1999 235     3  20.0  19.5  18.9  18.5  18.3  18.2  18.1  18.0   0.0   0.0
 1999 236     4  19.1  18.7  18.3  18.0  18.0  17.9  17.9  17.9   0.0   0.0
 1999 237     5  17.2  17.0  17.0  17.0  17.2  17.4  17.6  17.7   0.0   0.0
 1999 238     6  15.5  15.6  15.8  16.2  16.6  17.0  17.3  17.5   0.0   0.0
 1999 239     7  15.5  15.6  15.8  16.2  16.5  17.0  17.3  17.5   0.0   0.0
 1999 240     8  15.0  15.2  15.5  15.9  16.3  16.9  17.2  17.4   0.0   0.0
 1999 241     9  14.9  15.1  15.4  15.8  16.3  16.8  17.2  17.4   0.0   0.0
 1999 242    10  16.6  16.5  16.5  16.7  16.9  17.2  17.5  17.6   0.0   0.0
 1999 243    11  18.0  17.7  17.4  17.3  17.4  17.5  17.7  17.7   0.0   0.0
 1999 244    12  18.1  17.8  17.5  17.4  17.4  17.6  17.7  17.7   0.0   0.0
 1999 245    13  19.4  18.9  18.4  18.1  17.9  17.9  17.9  17.8   0.0   0.0
 1999 246    14  19.1  18.6  18.2  17.9  17.8  17.8  17.8  17.8   0.0   0.0
 1999 247    15  17.7  17.4  17.2  17.1  17.2  17.4  17.6  17.6   0.0   0.0
 1999 248    16  16.5  16.4  16.4  16.5  16.7  17.1  17.4  17.5   0.0   0.0
 1999 249    17  17.5  17.2  17.0  17.0  17.1  17.3  17.5  17.6   0.0   0.0
 1999 250    18  17.3  17.1  16.9  16.9  17.0  17.3  17.5  17.5   0.0   0.0
 1999 251    19  17.9  17.6  17.3  17.2  17.2  17.4  17.5  17.6   0.0   0.0
 1999 252    20  18.2  17.8  17.5  17.3  17.3  17.4  17.6  17.6   0.0   0.0
 1999 253    21  17.6  17.3  17.1  17.0  17.1  17.3  17.5  17.6   0.0   0.0
 1999 254    22  16.4  16.3  16.3  16.4  16.6  17.0  17.3  17.4   0.0   0.0
 1999 255    23  16.6  16.5  16.4  16.5  16.7  17.0  17.3  17.4   0.0   0.0
 1999 256    24  17.4  17.1  16.9  16.8  16.9  17.2  17.4  17.5   0.0   0.0
 1999 257    25  17.4  17.1  16.9  16.8  16.9  17.2  17.4  17.5   0.0   0.0
 1999 258    26  18.0  17.7  17.3  17.1  17.2  17.3  17.5  17.5   0.0   0.0
 1999 259    27  19.3  18.8  18.2  17.8  17.6  17.6  17.7  17.7   0.0   0.0
 1999 260    28  20.1  19.4  18.7  18.2  17.9  17.8  17.8  17.8   0.0   0.0
 1999 261    29  21.1  20.3  19.4  18.7  18.3  18.0  17.9  17.9   0.0   0.0
 1999 262    30  21.6  20.8  19.7  19.0  18.5  18.2  18.0  17.9   0.0   0.0
 1999 263    31  22.7  21.7  20.4  19.5  18.9  18.4  18.2  18.0   0.0   0.0
 1999 264    32  22.7  21.7  20.4  19.5  18.9  18.4  18.1  18.0   0.0   0.0
 1999 265    33  22.2  21.2  20.1  19.2  18.7  18.2  18.0  18.0   0.0   0.0
 1999 266    34  20.7  19.9  19.0  18.4  18.1  17.9  17.8  17.8   0.0   0.0
 1999 267    35  21.0  20.2  19.3  18.6  18.2  17.9  17.8  17.8   0.0   0.0
 1999 268    36  19.8  19.2  18.4  17.9  17.7  17.6  17.6  17.7   0.0   0.0
 1999 269    37  18.9  18.4  17.8  17.5  17.3  17.4  17.5  17.5   0.0   0.0
 1999 270    38  18.8  18.3  17.7  17.4  17.3  17.3  17.4  17.5   0.0   0.0
 1999 271    39  18.7  18.2  17.7  17.3  17.2  17.3  17.4  17.5   0.0   0.0
 1999 272    40  17.8  17.4  17.0  16.9  16.9  17.0  17.3  17.4   0.0   0.0
 1999 273    41  18.4  17.9  17.4  17.1  17.1  17.2  17.3  17.4   0.0   0.0
 1999 274    42  17.6  17.3  16.9  16.7  16.8  17.0  17.2  17.3   0.0   0.0
 1999 275    43  16.6  16.4  16.2  16.2  16.4  16.7  17.0  17.2   0.0   0.0
 1999 276    44  15.3  15.2  15.3  15.5  15.8  16.3  16.8  17.0   0.0   0.0
 1999 277    45  14.3  14.4  14.6  15.0  15.4  16.1  16.6  16.9   0.0   0.0
 1999 278    46  13.1  13.3  13.8  14.3  14.9  15.8  16.4  16.8   0.0   0.0
 1999 279    47  14.0  14.1  14.4  14.8  15.3  16.0  16.6  16.9   0.0   0.0
 1999 280    48  14.4  14.5  14.7  15.0  15.5  16.1  16.6  16.9   0.0   0.0
 1999 281    49  15.4  15.4  15.4  15.5  15.8  16.3  16.8  17.0   0.0   0.0
 1999 282    50  16.4  16.2  16.0  16.0  16.2  16.5  16.9  17.1   0.0   0.0
 1999 283    51  17.5  17.1  16.8  16.6  16.6  16.8  17.1  17.2   0.0   0.0
