*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 20, 2016; 10:59:46

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0051 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 191     0     0     0     0.0   99.3   16646   76.4   22.8  16.0  15.2  15.1   8.6   4.6   0.0   0.1   0.1   0.0   0.0   0.6   1.3   1.5   1.4   1.4  1.50  1.46  1.45  0.00  0.00    0.52    1.62    0.00    0.00    0.00
 1990 192     1     0     0     0.0   99.8   16645   77.7   22.1  16.3  15.5  15.3   8.7   4.6   0.0   0.1   0.1   0.0   0.0   0.3   1.2   1.4   1.4   1.4  1.51  1.43  1.41  0.00  0.00    1.02    2.86    0.00    0.00    0.00
 1990 193     2     0     0     0.0  100.3   16645   78.8   21.5  16.5  15.6  15.4   8.8   4.7   0.1   0.1   0.2   0.0   0.0   0.2   1.1   1.4   1.3   1.4  1.51  1.40  1.37  0.00  0.00    1.53    3.94    0.00    0.00    0.00
 1990 194     3     0     0     0.0  100.8   16644   79.8   21.0  16.7  15.8  15.5   8.8   4.8   0.1   0.2   0.2   0.0   0.0   0.2   1.0   1.4   1.3   1.3  1.51  1.37  1.32  0.00  0.00    2.03    4.95    0.00    0.00    0.00
 1990 195     4     2     2     0.0  103.3   16644   80.7   22.5  16.8  16.0  15.6   8.9   4.8   0.1   0.2   0.2   0.0   0.0   3.7   0.9   1.4   1.3   1.3  1.51  1.33  1.28  0.00  0.00    2.54    5.91    0.00    0.00    0.04
 1990 196     5     2     2     0.0  103.7   16643   82.9   20.9  19.1  16.1  15.7   9.0   4.9   0.1   0.3   0.3   0.0   0.0   1.4   0.9   1.4   1.2   1.2  1.52  1.30  1.25  0.00  0.00    3.05    8.07    0.00    0.00    0.08
 1990 197     6     2     2     0.0  104.2   16642   84.3   20.0  20.0  16.3  15.9   9.1   4.9   0.1   0.3   0.3   0.0   0.0   0.5   0.8   1.3   1.2   1.2  1.52  1.27  1.21  0.00  0.00    3.59    9.47    0.00    0.00    0.11
 1990 198     7     2     2     0.0  104.7   16642   85.3   19.4  20.3  16.4  16.0   9.1   5.0   0.1   0.4   0.4   0.0   0.0   0.2   0.7   1.3   1.1   1.2  1.52  1.25  1.17  0.00  0.00    4.13   10.50    0.00    0.00    0.16
 1990 199     8     2     2     0.0  105.2   16641   86.2   19.0  20.4  16.5  16.1   9.2   5.0   0.2   0.4   0.4   0.0   0.0   0.0   0.7   1.3   1.1   1.1  1.53  1.22  1.14  0.00  0.00    4.66   11.38    0.00    0.00    0.22
 1990 200     9     2     2     0.0  105.7   16641   87.0   18.7  20.1  16.8  16.2   9.3   5.1   0.2   0.4   0.5   0.0   0.0   0.1   0.7   1.3   1.1   1.1  1.53  1.19  1.10  0.00  0.00    5.15   12.15    0.00    0.00    0.23
