*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 15, 2016; 16:04:11

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0208 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 224     0   116      0      0      0     0     0   125  0.347  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1990 225     1   114      0      0      0     0     0   125  0.322  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1990 226     2   113      0      0      0     0     0   125  0.303  0.391  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1990 227     3   183      0      0     28     1    43   125  0.539  0.566  0.568  0.432  0.377  0.417  0.408  0.395  0.000  0.000
 1990 228     4   180      0      0     28     1    43   125  0.478  0.555  0.557  0.437  0.390  0.417  0.408  0.395  0.000  0.000
 1990 229     5   177      0      0     28     1    43   125  0.467  0.531  0.549  0.437  0.401  0.416  0.408  0.395  0.000  0.000
 1990 230     6   175      0      0     28     1    43   125  0.456  0.520  0.542  0.437  0.404  0.416  0.408  0.395  0.000  0.000
 1990 231     7   173      0      0     28     1    43   125  0.458  0.514  0.536  0.436  0.406  0.416  0.408  0.395  0.000  0.000
 1990 232     8   172      0      0     28     1    43   125  0.460  0.509  0.532  0.434  0.407  0.416  0.408  0.395  0.000  0.000
 1990 233     9   171      0      0     28     1    43   125  0.462  0.505  0.528  0.433  0.408  0.416  0.408  0.395  0.000  0.000
 1990 234    10   171      0      0     28     1    43   125  0.463  0.503  0.525  0.431  0.409  0.415  0.408  0.395  0.000  0.000
 1990 235    11   170      0      0     28     1    43   125  0.464  0.500  0.522  0.430  0.410  0.415  0.408  0.395  0.000  0.000
 1990 236    12   169      0      0     28     1    43   125  0.464  0.498  0.520  0.429  0.411  0.415  0.408  0.395  0.000  0.000
 1990 237    13   168      0      0     28     1    43   125  0.464  0.496  0.517  0.428  0.412  0.415  0.407  0.395  0.000  0.000
 1990 238    14   168      0      0     28     1    43   125  0.464  0.495  0.515  0.427  0.412  0.415  0.407  0.395  0.000  0.000
 1990 239    15   208      0      0     70     1    43   125  0.551  0.566  0.566  0.469  0.461  0.432  0.417  0.399  0.000  0.000
 1990 240    16   206      0      1     72     1    43   125  0.502  0.563  0.562  0.464  0.460  0.433  0.422  0.403  0.000  0.000
 1990 241    17   194      0     10     72     1    43   125  0.472  0.539  0.554  0.454  0.448  0.427  0.417  0.400  0.000  0.000
 1990 242    18   186      0     15     72     1    43   125  0.451  0.524  0.545  0.448  0.441  0.424  0.413  0.398  0.000  0.000
 1990 243    19   183      0     17     72     1    43   125  0.464  0.515  0.539  0.444  0.437  0.422  0.411  0.398  0.000  0.000
 1990 244    20   184      0     17     75     1    43   125  0.510  0.511  0.534  0.441  0.436  0.422  0.412  0.398  0.000  0.000
