*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:27:45

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0327 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 1999 232     0  15.80  25.80  14.50  3.920  2.370  0.000  2.370  0.000    2.4    0.0    2.4    0.0
 1999 233     1  13.60  27.70  16.20  3.497  1.374  0.000  1.374  0.000    3.7    0.0    3.7    0.0
 1999 234     2   5.10  15.50  12.00  1.085  1.085  0.000  1.085  0.000    4.8    0.0    4.8    0.0
 1999 235     3   5.10  15.10  11.50  1.074  1.074  0.000  1.074  0.000    5.9    0.0    5.9    0.0
 1999 236     4   5.80  20.00  13.70  1.330  1.330  0.000  1.330  0.000    7.2    0.0    7.2    0.0
 1999 237     5  12.80  15.40   5.80  2.562  2.562  0.000  2.562  0.000    9.8    0.0    9.8    0.0
 1999 238     6  18.70  18.90   5.10  3.911  2.760  0.000  2.760  0.000   12.6    0.0   12.6    0.0
 1999 239     7  11.90  18.60   2.80  2.424  2.176  0.000  2.176  0.000   14.7    0.0   14.7    0.0
 1999 240     8   6.00  14.60   3.10  1.155  1.155  0.000  1.155  0.000   15.9    0.0   15.9    0.0
 1999 241     9  14.00  19.00  11.60  3.112  1.093  0.000  1.093  0.000   17.0    0.0   17.0    0.0
 1999 242    10   5.40  27.80  14.00  1.367  1.367  0.000  1.367  0.000   18.3    0.0   18.3    0.0
 1999 243    11   5.50  27.90  15.00  1.404  1.017  0.000  1.017  0.000   19.4    0.0   19.4    0.0
 1999 244    12   5.50  16.40  13.70  1.203  0.878  0.000  0.878  0.000   20.2    0.0   20.2    0.0
 1999 245    13   7.00  20.00  14.70  1.619  1.607  0.000  1.607  0.000   21.8    0.0   21.8    0.0
 1999 246    14   5.60  15.90  12.80  1.206  1.206  0.003  1.203  0.000   23.1    0.0   23.1    0.0
 1999 247    15   5.60  16.30  13.60  1.221  1.221  0.003  1.218  0.000   24.3    0.0   24.3    0.0
 1999 248    16   5.70  19.20  14.80  1.305  1.305  0.004  1.302  0.000   25.6    0.0   25.6    0.0
 1999 249    17  13.70  22.90  16.20  3.325  3.325  0.010  3.315  0.000   28.9    0.0   28.9    0.0
 1999 250    18   7.90  19.00  12.40  1.767  1.767  0.006  1.761  0.000   30.7    0.0   30.6    0.0
 1999 251    19  18.60  19.80   7.40  4.021  4.021  0.015  4.006  0.000   34.7    0.0   34.7    0.0
 1999 252    20  20.70  18.30   5.90  4.321  2.703  0.027  2.676  0.000   37.4    0.1   37.3    0.0
 1999 253    21  20.50  16.00   4.00  4.063  1.852  0.026  1.825  0.000   39.2    0.1   39.2    0.0
 1999 254    22  16.80  17.00   4.00  3.379  1.274  0.022  1.252  0.000   40.5    0.1   40.4    0.0
 1999 255    23  17.60  21.20   5.20  3.800  1.042  0.026  1.016  0.000   41.6    0.1   41.4    0.0
 1999 256    24  13.60  24.70  12.40  3.270  3.270  0.014  3.256  0.000   44.8    0.2   44.7    0.0
 1999 257    25  15.20  18.00   9.50  3.267  2.419  0.025  2.394  0.000   47.3    0.2   47.1    0.0
 1999 258    26  21.10  20.00   5.20  4.481  2.478  0.035  2.443  0.000   49.7    0.2   49.5    0.0
 1999 259    27  20.70  23.60  10.50  4.832  1.424  0.039  1.385  0.000   51.2    0.3   50.9    0.0
 1999 260    28  20.50  24.50   7.60  4.723  1.123  0.040  1.083  0.000   52.3    0.3   52.0    0.0
 1999 261    29  21.90  29.80  11.70  5.565  0.970  0.050  0.920  0.000   53.2    0.3   52.9    0.0
 1999 262    30  21.60  20.10   9.30  4.766  0.864  0.050  0.814  0.000   54.1    0.4   53.7    0.0
 1999 263    31  20.60  26.00   8.90  4.888  0.794  0.056  0.738  0.000   54.9    0.5   54.5    0.0
 1999 264    32  21.40  23.20   8.90  4.899  0.743  0.063  0.680  0.000   55.6    0.5   55.1    0.0
 1999 265    33  21.40  20.60  10.70  4.810  0.702  0.068  0.634  0.000   56.4    0.6   55.8    0.0
 1999 266    34  22.90  20.90   7.50  5.022  0.673  0.077  0.596  0.000   57.0    0.7   56.4    0.0
 1999 267    35  22.50  23.10   8.10  5.106  0.648  0.084  0.564  0.000   57.7    0.7   56.9    0.0
 1999 268    36   6.60  20.50   8.70  1.455  0.562  0.026  0.537  0.000   58.2    0.8   57.5    0.0
 1999 269    37   7.30  19.60  10.60  1.617  0.543  0.030  0.513  0.000   58.8    0.8   58.0    0.0
 1999 270    38  20.30  20.40  11.50  4.579  0.585  0.093  0.492  0.000   59.4    0.9   58.5    0.0
 1999 271    39   9.10  21.60  11.70  2.088  0.521  0.047  0.474  0.000   59.9    0.9   58.9    0.0
 1999 272    40  22.90  17.60   7.00  4.770  0.574  0.116  0.458  0.000   60.5    1.1   59.4    0.0
 1999 273    41  21.80  22.80   3.20  4.712  2.520  0.120  2.400  0.000   63.0    1.2   61.8    0.0
 1999 274    42   6.90  14.10   8.50  1.386  1.386  0.023  1.363  0.000   64.4    1.2   63.2    0.0
 1999 275    43  20.80  14.90   5.60  4.108  3.825  0.115  3.710  0.000   68.2    1.3   66.9    0.0
 1999 276    44  23.90  12.80   1.70  4.388  3.171  0.126  3.045  0.000   71.4    1.4   69.9    0.0
 1999 277    45  22.10  13.20  -0.50  3.988  1.556  0.116  1.440  0.000   72.9    1.6   71.4    0.0
 1999 278    46   8.90  17.30   4.50  1.801  1.161  0.053  1.108  0.000   74.1    1.6   72.5    0.0
 1999 279    47  12.90  20.20  12.20  2.915  2.915  0.055  2.860  0.000   77.0    1.7   75.3    0.0
 1999 280    48   7.20  16.80  13.40  1.572  1.572  0.032  1.540  0.000   78.6    1.7   76.9    0.0
 1999 281    49  13.30  18.70  12.30  2.948  2.948  0.064  2.884  0.000   81.5    1.8   79.8    0.0
 1999 282    50  15.20  18.30   8.40  3.233  3.233  0.093  3.141  0.000   84.7    1.9   82.9    0.0
 1999 283    51  23.00  21.30   8.70  5.107  3.679  0.204  3.476  0.000   88.4    2.1   86.4    0.0
 1999 284    52  24.00  23.80   9.60  5.546  2.477  0.237  2.240  0.000   90.9    2.3   88.6    0.0
 1999 285    53   7.40  19.00  12.70  1.650  1.650  0.048  1.602  0.000   92.5    2.3   90.2    0.0
 1999 286    54   7.40  18.00  15.40  1.666  1.666  0.052  1.614  0.000   94.2    2.4   91.8    0.0
 1999 287    55   7.50  15.40  12.20  1.584  1.584  0.053  1.531  0.000   95.8    2.4   93.4    0.0
